year_id,age_group_id,age_group_name,sex_id,sex,agg_cause,mean_all,lower_all,upper_all,mean_pub,lower_pub,upper_pub,mean_pri,lower_pri,upper_pri,mean_oop,lower_oop,upper_oop
2006,28,<1 year,1,Male,Communicable and nutrition disorders,327561754.1,302125158.3,369775981.8,203759489.1,174321307,243281695.6,110370228.8,91231067.65,128013777.3,13432036.28,10127333.41,16640089.36
2006,28,<1 year,2,Female,Communicable and nutrition disorders,248059554.5,229605884.7,269831188.2,153736933.8,132813590.9,177380358.7,84197591.85,70742250.21,98724280.19,10125028.91,7058585.431,12036898.79
2006,5,1 to 4,1,Male,Communicable and nutrition disorders,591167848.6,544910875.1,635576559.1,360947395.2,311437185.2,408627719.5,204738351.9,171707602.7,232776509,25482101.66,19744559.68,30677804.37
2006,5,1 to 4,2,Female,Communicable and nutrition disorders,490269102.4,459965832.5,526167969.9,297935929.7,255805507.1,338197491.5,171109852.2,145053692.7,195062621.2,21223320.27,15631557.45,25488866.85
2006,6,5 to 9,1,Male,Communicable and nutrition disorders,221921797.1,203076002.5,235681670.4,120587493.9,102020929.6,138805539.5,90234348.54,79471918.85,98404318.18,11099954.56,8935635.949,12768564.43
2006,6,5 to 9,2,Female,Communicable and nutrition disorders,216147630.2,200446766.1,228290998.7,117520597.5,99589460.36,133002220,87634663.09,77500386.87,96514982.13,10992369.74,8748477.512,12867197.94
2006,7,10 to 14,1,Male,Communicable and nutrition disorders,149174740.4,137529045.7,158777135.5,70169324.14,58333612.73,82091383.15,70102125.26,60460890.58,76291042.91,8903290.977,7329181.822,10320706.27
2006,7,10 to 14,2,Female,Communicable and nutrition disorders,181648852.8,170427000.8,193600266.6,86994264.57,72488238.95,100750787.8,83679066.78,73084737.36,91997395.1,10975521.35,8853677.914,12823469.47
2006,8,15 to 19,1,Male,Communicable and nutrition disorders,146496098.6,137743433.4,155367401.5,59474702.92,50354648.72,69456377.63,76831138.33,68498999.74,84659971.62,10190257.29,8703125.524,12001946.66
2006,8,15 to 19,2,Female,Communicable and nutrition disorders,226982871.4,209413433.1,242993880.7,98943876.92,83590619.42,117083831.5,112058129,101067513.3,122525013,15980865.38,13332628.16,18378451.99
2006,9,20 to 24,1,Male,Communicable and nutrition disorders,161033431.5,151717857.9,172714773.6,57550385.83,48400075.74,66675289,91065322.26,82611533.18,99732438.34,12417723.51,10051825.01,15160681.54
2006,9,20 to 24,2,Female,Communicable and nutrition disorders,348726803.4,312923681.6,380889358.7,159614765.2,111123721.5,207445494.5,162380435.7,140768770.7,183947163,26731602.37,21054699.81,33500486.18
2006,10,25 to 29,1,Male,Communicable and nutrition disorders,161868723,151858374.3,172928685.9,50037500.44,41791197.82,59278823.33,98742519.51,89720984.82,108259545.5,13088703.23,10417052.96,16220620.24
2006,10,25 to 29,2,Female,Communicable and nutrition disorders,303496542.7,278842465.4,323711668.1,113402297.7,87225930.38,137161809.1,166110717.4,149381261.8,183914267.7,23983527.66,19885888.57,28614707.56
2006,11,30 to 34,1,Male,Communicable and nutrition disorders,146161464,138120915.8,157797542.9,39714515.42,33637733.83,47893773.95,94597900.37,86651213.4,104457026.6,11849048.25,9535609.844,14021873.04
2006,11,30 to 34,2,Female,Communicable and nutrition disorders,255790362.6,236821994,272389139,83660681.41,66883886.82,99523545.46,151920393.9,138500923.4,169073050,20209287.15,16102654.86,23885056.62
2006,12,35 to 39,1,Male,Communicable and nutrition disorders,140638920.5,131894813.6,152170476.5,35620360.01,29414972.53,43528780.03,93981548.21,87117523.53,103918077.9,11037012.15,8909416.167,13152840.93
2006,12,35 to 39,2,Female,Communicable and nutrition disorders,248126257.9,229537629,266384060.4,78861111.39,62370258.31,93502348.84,150281404.9,137442483.3,166959558.3,18983741.65,14936247.91,22516505.71
2006,13,40 to 44,1,Male,Communicable and nutrition disorders,137639982.3,127019007.5,147939988.4,34369257.85,27220520.17,41305528.12,92959891.71,86357031.25,102141069.9,10310832.76,8402924.797,12379798.05
2006,13,40 to 44,2,Female,Communicable and nutrition disorders,241544337,224031794.9,259200197.7,75820424.53,59690640.66,91590698.2,147869455.7,135793049.6,163557995.5,17854456.93,14363827.62,21065967.02
2006,14,45 to 49,1,Male,Communicable and nutrition disorders,134323911.2,123372857.6,143376925.4,34525769.95,26502360.9,43949243.83,90237919.22,83155164.62,99498102.46,9560221.99,8097852.186,11672807.3
2006,14,45 to 49,2,Female,Communicable and nutrition disorders,223694835.5,209102372.8,240404423,67936137.96,53982991,82648828.81,139800566.7,128389816,153865188.2,15958130.78,13278722.69,18752993.34
2006,15,50 to 54,1,Male,Communicable and nutrition disorders,125591414.3,116332910.6,134052102.5,34536872.74,23317088.4,47065708.58,82603742.77,73148130.35,92311111.63,8450798.776,7259194.241,10246858.16
2006,15,50 to 54,2,Female,Communicable and nutrition disorders,189822623.9,178175525.2,208657465.4,58733633.82,43947075.95,79039726.31,118040942,105773444.3,132990865.4,13048048.22,11444465.09,15419046.46
2006,16,55 to 59,1,Male,Communicable and nutrition disorders,114299102.3,104388716.9,122984996.9,35429947.57,22099343.78,53542894.34,71684030.28,59708143.23,82161847.36,7185124.444,6060824.709,8837193.115
2006,16,55 to 59,2,Female,Communicable and nutrition disorders,159488678.8,149972076.2,177013880,53826942.3,37008125.48,83731472.64,95212053.95,81804663.73,110166791.2,10449682.52,8932528.209,12548622.2
2006,17,60 to 64,1,Male,Communicable and nutrition disorders,96910404.94,87741462.85,108068722.1,35189689.38,21544208.01,58379170,56037230.62,42517372.71,66419082.99,5683484.979,4602059.434,7151415.082
2006,17,60 to 64,2,Female,Communicable and nutrition disorders,126375394,117484623.1,139539924.9,48255078.83,31113104.44,77844537.5,70274396.03,56236433.66,84437402.47,7845919.231,6397427.105,9884007.679
2006,18,65 to 69,1,Male,Communicable and nutrition disorders,111488789.6,102332365.4,126533678.6,101496650.6,91128722.19,116945228.9,8619745.476,5873084.782,12890459.91,1372393.391,980474.6312,1910850.938
2006,18,65 to 69,2,Female,Communicable and nutrition disorders,144593415,133497512.8,159040672,132434910.7,120254160,147348937.4,10385144.16,7130714.447,14593234.19,1773360.12,1270308.631,2328518.362
2006,19,70 to 74,1,Male,Communicable and nutrition disorders,100753362.5,92194646.62,112905033.6,93119054.52,84851209.58,104833684.9,6589405.148,4928446.775,8872389.972,1044902.87,789111.9626,1314929.102
2006,19,70 to 74,2,Female,Communicable and nutrition disorders,136652863.5,125952578.3,147311077.2,127102218.4,116030370.1,138147681.3,8165450.273,6169460.07,10614826.8,1385194.885,1033215.707,1677974.435
2006,20,75 to 79,1,Male,Communicable and nutrition disorders,97499198.81,86810542.22,109912304.5,90653487.7,80927961.8,102804412.9,5944483.831,4125330.608,8373041.484,901227.2357,655209.4197,1113101.138
2006,20,75 to 79,2,Female,Communicable and nutrition disorders,141758946.1,127529675.3,155512641.1,132687093.5,119168074.1,145611780.3,7804598.041,5717887.463,11122407.61,1267254.526,914347.7861,1549378.621
2006,30,80 to 84,1,Male,Communicable and nutrition disorders,92852130.89,81044085.12,104505376.9,86472968.39,76168489.13,97898425.16,5573573.538,4168750.922,8050256.132,805588.9795,569546.5721,1043136.058
2006,30,80 to 84,2,Female,Communicable and nutrition disorders,143400973.8,124643534.9,161347866,134123038,116680566.4,150176115.9,8046780.866,6368818.954,11694220.23,1231154.892,881195.2988,1588632.821
2006,160,85 plus,1,Male,Communicable and nutrition disorders,105624246.2,79797107.78,124146413.8,98217823.05,74471750.56,116603244.5,6518507.974,4015436.068,9256480.067,887915.228,578013.5854,1210219.131
2006,160,85 plus,2,Female,Communicable and nutrition disorders,193282918.6,158688259.1,218058492,179756227.2,142756892.6,204622466,11888263.09,8765206.176,17692724.47,1638428.353,1218367.445,2157738.643
2007,28,<1 year,1,Male,Communicable and nutrition disorders,338976019.1,314991099.3,380246187.8,216119672.4,185564100.8,252550830.9,109346575.7,90615450.58,127829531.6,13509770.97,10115924.39,16758297.6
2007,28,<1 year,2,Female,Communicable and nutrition disorders,257689040,239868731.1,278333760.6,163528226.8,142055099.1,187953631.3,83918795.49,70021830.19,99118283.91,10242017.71,7207816.715,12319235.98
2007,5,1 to 4,1,Male,Communicable and nutrition disorders,617205550.5,568099895.6,654278577.2,387333723.3,344168798.5,434007542.9,204011376.7,174999385.7,239365136.9,25860450.75,19909597.34,31455731.75
2007,5,1 to 4,2,Female,Communicable and nutrition disorders,511836653.9,481343940.7,550189326,319954430.5,277404069.3,362923157.8,170329527.4,146536875,194714058.6,21552696.04,15956457.35,26456362.09
2007,6,5 to 9,1,Male,Communicable and nutrition disorders,236227921.2,218473744,248171747.5,132393444.3,114142452.1,150589283.9,92354015.1,81528173.11,102543651.4,11480461.77,9327206.763,13517727.54
2007,6,5 to 9,2,Female,Communicable and nutrition disorders,224770276.4,208403551.5,236481004.1,126072612.7,108358241.6,142395305,87605111.04,77128980.68,96561135.46,11092552.7,8857433.609,13189228.9
2007,7,10 to 14,1,Male,Communicable and nutrition disorders,159602101,148840758.7,168314494.4,77706722.66,65775779.67,89543650.67,72616558.28,61895317.56,78818627.43,9278820.083,7666989.726,10907973.75
2007,7,10 to 14,2,Female,Communicable and nutrition disorders,187164695.7,176231691.3,196698452.1,92664466.08,79070264.04,106539880.1,83491142.54,71086795.93,91151147.97,11009087.22,8976879.049,13009095.78
2007,8,15 to 19,1,Male,Communicable and nutrition disorders,158294791.6,150134501.5,166544962.8,66515778.66,57507518.35,76841661.98,81015603.14,71250793.15,87540103.51,10763409.9,9225630.801,12450237.17
2007,8,15 to 19,2,Female,Communicable and nutrition disorders,239111058.8,223331531.7,251875116.7,107101608.4,90698864.93,126395334.9,115481087.4,102918860.9,124756126.4,16528363,13882604.61,19236623.1
2007,9,20 to 24,1,Male,Communicable and nutrition disorders,171759171.5,164165509.5,182280403.6,63426551.87,53270840.32,72562829.52,95319797.85,84632925.03,102811567,13012821.81,10590700.23,15908232.64
2007,9,20 to 24,2,Female,Communicable and nutrition disorders,359497807.6,326683378.2,390465335.4,164009933.4,117508400.8,210801759.5,167977621.3,144531906.9,189139940.2,27510252.8,21710058.67,34269270.97
2007,10,25 to 29,1,Male,Communicable and nutrition disorders,173467632.6,164463761.3,184280206.5,55598922.38,45795702.74,64859006.79,104071439,94321136.54,112874350,13797271.32,11167665.78,16947548.56
2007,10,25 to 29,2,Female,Communicable and nutrition disorders,325660001.5,301596671.3,345385742.4,123229654.7,95681854.28,148148390.2,176848325.5,158704595.5,194667194,25582021.1,21047250.9,30771232.63
2007,11,30 to 34,1,Male,Communicable and nutrition disorders,154480529.1,147073341.3,163816952.4,43685836.67,36631927.74,51898406.26,98466656.14,90268790.92,107509846.1,12328036.22,10048840.6,14611348.34
2007,11,30 to 34,2,Female,Communicable and nutrition disorders,267767069.6,251633717.7,284868391.2,89397020.6,71886436.24,105929060.2,157355785.2,143965338.5,173681063.4,21014263.76,16743353.96,24507380.88
